,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2023-02-13,176.52,177.8,175.685,176.71,176.71,3443194,0.0,1.0
1,2023-02-10,173.86,176.14,173.11,175.79,175.79,5466363,0.0,1.0
2,2023-02-09,179.215,180.5,174.57,174.99,174.99,5572007,0.0,1.0
3,2023-02-08,181.79,182.59,176.47,176.5,176.5,5657703,0.0,1.0
4,2023-02-07,181.07,184.27,179.37,183.49,183.49,4799857,0.0,1.0
5,2023-02-06,180.51,182.58,179.44,181.0,181.0,4385743,0.0,1.0
6,2023-02-03,181.69,185.2444,181.585,182.29,182.29,5732193,0.0,1.0
7,2023-02-02,183.87,185.45,175.75,184.72,184.72,11667107,0.0,1.0
8,2023-02-01,177.0,183.69,176.76,182.1,182.1,7835838,0.0,1.0
9,2023-01-31,173.17,177.3,172.98,177.21,177.21,5852445,0.0,1.0
10,2023-01-30,172.34,175.18,172.21,173.13,173.13,5048954,1.24,1.0
11,2023-01-27,172.53,177.31,171.87,175.24,173.993813155933,6074904,0.0,1.0
12,2023-01-26,175.27,175.27,171.79,174.1,172.861920055055,6287866,0.0,1.0
13,2023-01-25,176.63,178.21,171.5,175.04,173.795235418937,6720689,0.0,1.0
14,2023-01-24,176.75,178.52,175.34,177.04,175.781012788897,5351620,0.0,1.0
15,2023-01-23,173.65,179.02,172.56,178.17,176.902977002925,7847635,0.0,1.0
16,2023-01-20,172.44,173.59,169.7505,173.0,171.769742501577,7569929,0.0,1.0
17,2023-01-19,173.375,173.73,169.62,170.93,169.714462923668,5995727,0.0,1.0
18,2023-01-18,176.37,177.32,173.59,173.76,172.524337902162,5874261,0.0,1.0
19,2023-01-17,178.8,179.815,175.3,175.4,174.15267534553,5659395,0.0,1.0
20,2023-01-13,177.07,179.11,176.22,179.01,177.737003498308,3736703,0.0,1.0
21,2023-01-12,179.72,181.17,176.99,178.13,176.863261455526,4325138,0.0,1.0
22,2023-01-11,178.22,179.05,176.93,178.87,177.597999082411,5013866,0.0,1.0
23,2023-01-10,176.63,179.62,175.825,178.4,177.13134140047,4267839,0.0,1.0
24,2023-01-09,177.15,180.38,176.32,176.68,175.423572862304,5733948,0.0,1.0
25,2023-01-06,169.62,176.16,167.42,175.16,173.914382061134,6725941,0.0,1.0
26,2023-01-05,167.79,170.04,165.84,166.93,165.742908183747,6876953,0.0,1.0
27,2023-01-04,165.295,169.69,165.295,169.17,167.966978838103,6285339,0.0,1.0
28,2023-01-03,167.22,167.65,162.59,163.21,162.049362275621,4294135,0.0,1.0
29,2022-12-30,163.69,165.39,162.21,165.22,164.045068532431,3249053,0.0,1.0
30,2022-12-29,163.26,166.04,162.82,165.02,163.846490795435,4081576,0.0,1.0
31,2022-12-28,163.61,165.155,160.83,161.19,160.043727131961,2998550,0.0,1.0
32,2022-12-27,163.66,164.59,161.97,163.78,162.61530882606,3535587,0.0,1.0
33,2022-12-23,163.03,164.8,162.278,164.38,163.211042037048,2597000,0.0,1.0
34,2022-12-22,166.07,166.52,161.49,164.7,163.528766416241,7188736,0.0,1.0
35,2022-12-21,167.0,168.91,166.5,168.73,167.530107816712,3632145,0.0,1.0
36,2022-12-20,166.66,167.78,165.72,166.09,164.908881688364,3777633,0.0,1.0
37,2022-12-19,169.63,169.87,166.05,167.61,166.418072489534,4507115,0.0,1.0
38,2022-12-16,169.0,170.05,167.48,169.55,168.344276538395,10423639,0.0,1.0
39,2022-12-15,173.53,174.52,169.09,170.01,168.801005333486,6008556,0.0,1.0
40,2022-12-14,176.76,179.81,174.14,175.82,174.569688593221,5114590,0.0,1.0
41,2022-12-13,182.13,183.09,175.87,177.5,176.237741583988,6951017,0.0,1.0
42,2022-12-12,174.11,177.57,172.91,177.48,176.217883810288,5347045,0.0,1.0
43,2022-12-09,175.96,176.58,174.12,174.26,173.020782244652,3966812,0.0,1.0
44,2022-12-08,173.76,176.52,172.85,176.36,175.105848483111,3902683,0.0,1.0
45,2022-12-07,172.53,175.03,172.25,173.75,172.514409015312,3242832,0.0,1.0
46,2022-12-06,178.14,178.16,173.18,174.34,173.100213339451,4418072,0.0,1.0
47,2022-12-05,176.74,178.64,175.34,177.39,176.12852382864,4875539,0.0,1.0
48,2022-12-02,175.14,177.99,173.48,177.66,176.396603773585,3822916,0.0,1.0
49,2022-12-01,180.04,180.52,176.205,177.5,176.237741583988,5479894,0.0,1.0
50,2022-11-30,173.37,180.51,170.9745,180.46,179.176692091529,9780330,0.0,1.0
51,2022-11-29,173.64,174.355,171.31,172.98,171.749884727877,3133977,0.0,1.0
