,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2023-02-01,80.27,82.47,80.01,82.32,82.32,7272316,0.0,1.0
1,2023-01-31,80.45,80.91,79.47,80.48,80.48,6883537,0.0,1.0
2,2023-01-30,82.41,82.745,80.67,80.83,80.83,5726899,0.0,1.0
3,2023-01-27,81.0,83.99,80.9,83.23,83.23,7789511,0.0,1.0
4,2023-01-26,81.48,81.58,80.1201,81.14,81.14,6511229,0.0,1.0
5,2023-01-25,79.78,81.35,79.43,80.79,80.79,8501503,0.0,1.0
6,2023-01-24,78.0,80.845,77.47,80.7,80.7,13381780,0.0,1.0
7,2023-01-23,77.61,80.02,77.54,79.77,79.77,10957453,0.0,1.0
8,2023-01-20,77.59,77.75,75.67,77.68,77.68,8261345,0.0,1.0
9,2023-01-19,77.94,78.75,76.67,76.86,76.86,10411670,0.0,1.0
10,2023-01-18,80.94,81.18,79.14,79.27,79.27,7834262,0.0,1.0
11,2023-01-17,79.92,80.66,79.76,80.49,80.49,8492203,0.0,1.0
12,2023-01-13,78.78,80.6,78.5,80.2,80.2,11048213,0.0,1.0
13,2023-01-12,77.88,79.21,77.29,78.86,78.86,11498676,0.0,1.0
14,2023-01-11,75.82,77.7,75.51,77.69,77.69,10159264,0.0,1.0
15,2023-01-10,72.2,75.37,72.2,75.27,75.27,9255525,0.0,1.0
16,2023-01-09,72.0,73.91,71.96,72.67,72.67,7572883,0.0,1.0
17,2023-01-06,72.01,72.33,70.75,71.94,71.94,10389469,0.0,1.0
18,2023-01-05,69.9,71.55,69.0,71.29,71.29,12770157,0.0,1.0
19,2023-01-04,68.41,70.2,66.75,70.2,70.2,16784586,0.0,1.281
20,2023-01-03,84.05,85.09,83.54,84.98,66.3387978142077,6405106,0.0,1.0
21,2022-12-30,82.91,84.03,82.78,83.79,65.4098360655738,4127747,0.0,1.0
22,2022-12-29,82.25,83.91,81.9978,83.75,65.3786104605777,4416364,0.0,1.0
23,2022-12-28,82.99,83.17,81.3,81.97,63.9890710382514,3869533,0.0,1.0
24,2022-12-27,82.0,83.085,81.9,82.84,64.6682279469165,4239477,0.0,1.0
25,2022-12-23,81.71,82.39,80.96,81.79,63.8485558157689,3293379,0.0,1.0
26,2022-12-22,82.18,82.71,80.28,81.77,63.8329430132709,6062220,0.0,1.0
27,2022-12-21,81.04,83.59,80.975,82.98,64.7775175644028,7555628,0.0,1.0
28,2022-12-20,78.04,80.8,77.85,80.33,62.7088212334114,6975669,0.0,1.0
29,2022-12-19,77.25,78.35,77.2,78.06,60.9367681498829,4399175,0.0,1.0
30,2022-12-16,77.79,78.35,76.695,77.65,60.6167056986729,9954897,0.0,1.0
31,2022-12-15,80.07,81.21,78.5,78.81,61.5222482435597,9719586,0.0,1.0
32,2022-12-14,82.38,83.34,81.34,81.47,63.5987509758002,7645555,0.08,1.0
33,2022-12-13,84.57,84.9,81.93,82.88,64.6359838243325,7720015,0.0,1.0
34,2022-12-12,81.72,83.26,81.03,83.21,64.8933423506601,4660217,0.0,1.0
35,2022-12-09,83.62,83.8,81.335,81.45,63.5207635435797,5544340,0.0,1.0
36,2022-12-08,85.6,86.19,82.685,83.63,65.2208895659861,6438447,0.0,1.0
37,2022-12-07,85.0,86.08,84.82,85.0,66.2893173874067,4860628,0.0,1.0
38,2022-12-06,86.61,87.1,84.47,85.28,66.507682197624,5883866,0.0,1.0
39,2022-12-05,85.84,86.0482,84.62,84.66,66.024160117857,4715418,0.0,1.0
40,2022-12-02,84.57,86.95,84.41,86.88,67.7554811131517,4480434,0.0,1.0
41,2022-12-01,86.21,86.61,84.87,85.26,66.4920847111799,4240695,0.0,1.0
42,2022-11-30,85.64,86.35,83.19,85.97,67.0457954799453,7260816,0.0,1.0
43,2022-11-29,85.75,85.92,84.96,85.66,66.8040344400618,4489124,0.0,1.0
44,2022-11-28,87.2,87.56,85.155,85.47,66.6558583188429,4284264,0.0,1.0
45,2022-11-25,87.7,88.38,87.35,88.14,68.7381227591297,1894075,0.0,1.0
46,2022-11-23,87.03,87.96,86.94,87.87,68.5275566921344,3655685,0.0,1.0
47,2022-11-22,86.3,87.585,86.0,87.3,68.0830283284777,4234987,0.0,1.0
48,2022-11-21,85.11,85.995,84.73,85.89,66.9834055341689,3269761,0.0,1.0
49,2022-11-18,86.49,87.15,84.85,85.48,66.663657062065,4084167,0.0,1.0
50,2022-11-17,83.75,85.77,83.21,85.39,66.5934683730665,4653063,0.0,1.0
51,2022-11-16,86.83,86.93,84.65,84.9,66.2113299551862,4753177,0.0,1.0
