,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2023-02-13,253.37,256.48,251.53,255.29,255.29,1922394,0.0,1.0
1,2023-02-10,248.17,252.15,246.54,250.24,250.24,3101926,0.0,1.0
2,2023-02-09,262.27,262.81,252.49,252.51,252.51,1967306,0.0,1.0
3,2023-02-08,258.0,259.86,255.63,259.19,259.19,1404973,0.0,1.0
4,2023-02-07,258.64,261.62,255.95,261.01,261.01,2679228,0.0,1.0
5,2023-02-06,266.63,267.91,260.22,261.17,261.17,1828556,0.0,1.0
6,2023-02-03,268.05,270.6015,265.5207,269.54,269.54,1913459,0.0,1.0
7,2023-02-02,273.73,283.6225,265.69,268.41,268.41,3688210,0.0,1.0
8,2023-02-01,275.21,281.83,273.01,280.8,280.8,1727504,0.0,1.0
9,2023-01-31,271.97,277.15,269.29,277.08,277.08,1338947,0.0,1.0
10,2023-01-30,269.1,271.86,268.18,271.21,271.21,1147312,0.0,1.0
11,2023-01-27,275.5,275.76,270.11,270.79,270.79,1805172,0.0,1.0
12,2023-01-26,276.17,276.85,270.345,273.22,273.22,1950660,0.0,1.0
13,2023-01-25,273.58,275.62,269.76,273.94,273.94,1299616,0.0,1.0
14,2023-01-24,273.1,277.68,271.05,277.16,277.16,1530106,0.0,1.0
15,2023-01-23,270.0,274.58,268.69,274.49,274.49,1555900,0.0,1.0
16,2023-01-20,260.0,267.83,260.0,267.56,267.56,1251697,0.0,1.0
17,2023-01-19,260.25,261.8399,259.0,259.51,259.51,1292333,0.0,1.0
18,2023-01-18,267.7,268.76,263.08,263.25,263.25,1414002,0.0,1.0
19,2023-01-17,266.0,269.44,264.465,267.04,267.04,1389107,0.0,1.0
20,2023-01-13,261.82,267.79,261.82,267.22,267.22,914164,0.0,1.0
21,2023-01-12,264.6,265.6699,259.54,262.25,262.25,1259126,0.0,1.0
22,2023-01-11,263.69,265.0,261.18,263.61,263.61,1092422,0.0,1.0
23,2023-01-10,261.35,264.8687,260.14,262.45,262.45,1266098,0.0,1.0
24,2023-01-09,261.59,267.155,256.2,261.63,261.63,2025536,0.0,1.0
25,2023-01-06,262.21,267.355,260.735,263.81,263.81,1708500,0.0,1.0
26,2023-01-05,260.18,262.09,256.98,261.17,261.17,1421592,0.0,1.0
27,2023-01-04,258.81,262.95,256.86,261.91,261.91,1553149,0.0,1.0
28,2023-01-03,256.18,256.18,250.58,253.91,253.91,1689244,0.0,1.0
29,2022-12-30,248.33,248.84,245.12,248.11,248.11,866147,0.0,1.0
30,2022-12-29,248.79,251.18,247.93,249.93,249.93,775919,0.0,1.0
31,2022-12-28,247.85,249.65,246.11,246.19,246.19,1394400,0.0,1.0
32,2022-12-27,241.78,249.815,241.78,248.29,248.29,1826366,0.0,1.0
33,2022-12-23,242.1,242.84,238.75,241.02,241.02,551007,0.0,1.0
34,2022-12-22,240.22,242.54,238.36,242.22,242.22,1053029,0.0,1.0
35,2022-12-21,241.14,248.17,240.01,243.87,243.87,2013025,0.0,1.0
36,2022-12-20,234.35,238.42,232.21,237.64,237.64,1374901,0.0,1.0
37,2022-12-19,240.46,241.66,234.68,236.24,236.24,1230152,0.0,1.0
38,2022-12-16,237.89,241.52,237.04,240.94,240.94,2745881,0.0,1.0
39,2022-12-15,240.65,243.15,236.93,240.6,240.6,2070572,0.0,1.0
40,2022-12-14,248.47,252.57,246.24,249.22,249.22,1737263,0.0,1.0
41,2022-12-13,252.44,254.82,243.085,248.16,248.16,2803970,0.0,1.0
42,2022-12-12,239.83,244.75,238.03,244.44,244.44,1665206,0.0,1.0
43,2022-12-09,240.89,243.55,238.32,240.41,240.41,2468100,0.0,1.0
44,2022-12-08,238.9,243.1199,236.39,242.62,242.62,2017537,0.0,1.0
45,2022-12-07,235.01,235.88,231.02,232.53,232.53,1575282,0.0,1.0
46,2022-12-06,235.58,237.8,232.73,237.05,237.05,1902218,0.0,1.0
47,2022-12-05,235.49,236.45,230.46,231.47,231.47,1325321,0.0,1.0
48,2022-12-02,228.33,239.74,228.01,239.01,239.01,2002576,0.0,1.0
49,2022-12-01,233.19,235.23,229.46,231.96,231.96,1605819,0.0,1.0
50,2022-11-30,216.39,235.9,215.38,235.79,235.79,3410229,0.0,1.0
51,2022-11-29,217.48,218.49,214.25,214.94,214.94,1257100,0.66,1.0
52,2022-11-28,216.61,220.21,214.14,217.3,216.634795918367,1568909,0.0,1.0
53,2022-11-25,220.71,221.7294,217.37,220.01,219.3365,1076021,0.0,1.0
54,2022-11-23,223.0,225.15,221.25,222.71,222.028234693878,825153,0.0,1.0
55,2022-11-22,220.4,222.44,215.01,222.29,221.609520408163,1753673,0.0,1.0
56,2022-11-21,228.44,229.6,218.6,218.92,218.249836734694,2672675,0.0,1.0
57,2022-11-18,232.53,235.54,230.39,233.46,232.745326530612,2460400,0.0,1.0
58,2022-11-17,217.26,228.27,216.39,228.16,227.461551020408,1940601,0.0,1.0
59,2022-11-16,228.38,230.15,222.66,222.91,222.22762244898,1507395,0.0,1.0
60,2022-11-15,228.42,230.2499,225.245,226.98,226.285163265306,2011659,0.0,1.0
61,2022-11-14,225.78,227.58,220.6,220.67,219.994479591837,1829887,0.0,1.0
62,2022-11-11,222.29,232.33,221.695,228.22,227.521367346939,3516899,0.0,1.0
63,2022-11-10,212.67,219.34,211.36,218.89,218.219928571429,1764580,0.0,1.0
64,2022-11-09,207.0,208.54,204.0,204.81,204.183030612245,1855833,0.0,1.0
65,2022-11-08,208.59,212.87,205.71,207.89,207.253602040816,2117972,0.0,1.0
66,2022-11-07,209.42,210.2612,202.86,206.01,205.379357142857,2725472,0.0,1.0
67,2022-11-04,211.73,217.649,204.88,210.53,209.885520408163,6164574,0.0,1.0
68,2022-11-03,187.99,195.625,186.47,193.78,193.186795918367,3467431,0.0,1.0
69,2022-11-02,191.565,197.49,187.85,189.96,189.378489795918,7665955,0.0,1.0
70,2022-11-01,205.91,209.8049,203.515,206.76,206.12706122449,3042863,0.0,1.0
71,2022-10-31,204.37,204.475,198.57,200.49,199.876255102041,2636614,0.0,1.0
72,2022-10-28,203.58,207.8,202.795,206.44,205.808040816327,2050628,0.0,1.0
73,2022-10-27,206.31,207.6,203.75,204.43,203.804193877551,1237174,0.0,1.0
74,2022-10-26,202.47,209.38,201.14,206.0,205.369387755102,1491644,0.0,1.0
75,2022-10-25,198.64,205.27,197.22,205.12,204.492081632653,2065530,0.0,1.0
76,2022-10-24,201.8,202.4,193.48,196.79,196.187581632653,3040976,0.0,1.0
77,2022-10-21,201.1,203.19,196.955,201.8,201.182244897959,2584405,0.0,1.0
78,2022-10-20,206.3,210.09,200.73,200.95,200.334846938776,2872177,0.0,1.0
79,2022-10-19,214.45,214.5,206.61,207.29,206.65543877551,1890222,0.0,1.0
80,2022-10-18,219.08,220.3,213.33,215.24,214.581102040816,2087070,0.0,1.0
81,2022-10-17,211.78,215.02,210.93,212.98,212.328020408163,1280078,0.0,1.0
82,2022-10-14,215.81,217.16,208.79,209.31,208.669255102041,1400540,0.0,1.0
83,2022-10-13,209.07,215.65,206.19,213.26,212.607163265306,1863848,0.0,1.0
84,2022-10-12,216.07,216.28,211.82,215.1,214.441530612245,1802411,0.0,1.0
85,2022-10-11,215.66,218.72,210.66,214.05,213.394744897959,1550311,0.0,1.0
86,2022-10-10,219.81,220.24,214.1897,216.9,216.236020408163,930191,0.0,1.0
87,2022-10-07,226.08,226.6311,218.8,219.77,219.097234693878,1387412,0.0,1.0
88,2022-10-06,225.56,231.6,225.55,229.1,228.398673469388,1919781,0.0,1.0
89,2022-10-05,224.09,227.12,221.01,226.24,225.547428571429,1224537,0.0,1.0
90,2022-10-04,223.61,227.46,223.535,227.26,226.564306122449,1576103,0.0,1.0
91,2022-10-03,217.86,221.125,213.08,219.09,218.419316326531,2109106,0.0,1.0
92,2022-09-30,217.86,221.11,215.855,215.9,215.239081632653,1693777,0.0,1.0
93,2022-09-29,225.3,226.63,216.51,219.35,218.678520408163,1838203,0.0,1.0
94,2022-09-28,226.18,228.94,224.26,228.14,227.441612244898,1577669,0.0,1.0
95,2022-09-27,235.53,236.16,223.73,226.08,225.387918367347,2150355,0.0,1.0
96,2022-09-26,227.87,234.34,225.53,232.46,231.748387755102,1630853,0.0,1.0
97,2022-09-23,231.99,233.41,225.56,229.02,228.318918367347,1394407,0.0,1.0
98,2022-09-22,236.66,237.6399,233.0,234.91,234.190887755102,1103214,0.0,1.0
99,2022-09-21,245.56,247.43,237.86,237.86,237.131857142857,1280087,0.0,1.0
100,2022-09-20,239.02,241.44,237.46,239.5,238.766836734694,1156265,0.0,1.0
101,2022-09-19,236.29,241.67,235.9972,241.66,240.920224489796,1036068,0.0,1.0
102,2022-09-16,241.82,242.51,237.63,239.38,238.647204081633,1696730,0.0,1.0
103,2022-09-15,243.86,249.095,243.375,244.78,244.030673469388,1283559,0.0,1.0
104,2022-09-14,245.66,247.96,242.68,246.14,245.386510204082,1037532,0.0,1.0
105,2022-09-13,248.0,250.69,244.92,245.26,244.509204081633,1227431,0.0,1.0
