timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-21,151.47,154.77,150.8,153.17,153.17,40473931,0.0000,1.0
2022-11-18,159.66,160.02,151.2001,154.09,154.09,49207165,0.0000,1.0
2022-11-17,157.15,162.66,155.35,156.77,156.77,71089356,0.0000,1.0
2022-11-16,161.615,163.62,158.73,159.1,159.1,64954684,0.0000,1.0
2022-11-15,167.215,169.98,163.82,166.66,166.66,54587550,0.0000,1.0
2022-11-14,162.18,165.4,159.22,162.95,162.95,52785245,0.0000,1.0
2022-11-11,158.075,163.89,154.82,163.27,163.27,65548747,0.0000,1.0
2022-11-10,148.0,157.73,145.47,157.5,157.5,70081925,0.0000,1.0
2022-11-09,141.615,142.11,137.5901,137.76,137.76,45441366,0.0000,1.0
2022-11-08,148.01,148.9101,142.16,146.02,146.02,59529199,0.0000,1.0
2022-11-07,142.28,144.12,139.54,143.01,143.01,41006095,0.0000,1.0
2022-11-04,139.86,142.29,136.97,141.56,141.56,61257591,0.0000,1.0
2022-11-03,130.43,137.81,129.56,134.21,134.21,50006486,0.0000,1.0
2022-11-02,138.5,142.1,132.1124,132.19,132.19,67262784,0.0000,1.0
2022-11-01,138.11,139.25,135.19,135.43,135.43,43281690,0.0000,1.0
2022-10-31,137.78,138.38,132.97,134.97,134.97,48634099,0.0000,1.0
2022-10-28,131.04,138.5,130.61,138.34,138.34,52103993,0.0000,1.0
2022-10-27,136.3,138.38,131.22,131.76,131.76,58311308,0.0000,1.0
2022-10-26,128.69,133.88,127.08,128.96,128.96,53553329,0.0000,1.0
2022-10-25,126.935,133.0,126.64,132.61,132.61,50548233,0.0000,1.0
2022-10-24,125.08,127.1,120.64,125.99,125.99,51745740,0.0000,1.0
2022-10-21,120.982,124.98,118.87,124.66,124.66,60949441,0.0000,1.0
2022-10-20,121.13,127.69,121.05,121.94,121.94,65239761,0.0000,1.0
2022-10-19,118.79,123.5,118.34,120.51,120.51,52313061,0.0000,1.0
2022-10-18,123.44,124.92,116.18,119.67,119.67,65936206,0.0000,1.0
2022-10-17,115.18,119.48,115.17,118.88,118.88,58077417,0.0000,1.0
2022-10-14,120.57,121.11,112.04,112.27,112.27,71343199,0.0000,1.0
2022-10-13,109.71,120.7799,108.13,119.6,119.6,85010301,0.0000,1.0
2022-10-12,115.79,117.35,113.45,115.0,115.0,49259019,0.0000,1.0
2022-10-11,115.61,118.46,112.83,115.86,115.86,66748163,0.0000,1.0
2022-10-10,120.37,121.2432,114.0812,116.7,116.7,69869925,0.0000,1.0
2022-10-07,125.05,126.7,120.22,120.76,120.76,67247816,0.0000,1.0
