timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-12-06,147.08,147.3,141.92,142.91,142.91,64581435,0.0000,1.0
2022-12-05,147.77,150.9199,145.77,146.63,146.63,68826442,0.0000,1.0
2022-12-02,145.96,148.0,145.65,147.81,147.81,65447446,0.0000,1.0
2022-12-01,148.21,149.13,146.61,148.31,148.31,71250416,0.0000,1.0
2022-11-30,141.395,148.72,140.55,148.03,148.03,111380880,0.0000,1.0
2022-11-29,144.29,144.81,140.355,141.17,141.17,83763803,0.0000,1.0
2022-11-28,145.14,146.64,143.38,144.22,144.22,69346522,0.0000,1.0
2022-11-25,148.305,148.88,147.12,148.11,148.11,35195860,0.0000,1.0
2022-11-23,149.45,151.83,149.34,151.07,151.07,58301395,0.0000,1.0
2022-11-22,148.13,150.42,146.925,150.18,150.18,51804132,0.0000,1.0
2022-11-21,150.16,150.37,147.715,148.01,148.01,58724070,0.0000,1.0
2022-11-18,152.305,152.7,149.97,151.29,151.29,74829573,0.0000,1.0
2022-11-17,146.43,151.48,146.15,150.72,150.72,80389400,0.0000,1.0
2022-11-16,149.13,149.87,147.29,148.79,148.79,64218266,0.0000,1.0
2022-11-15,152.215,153.59,148.5613,150.04,150.04,89868332,0.0000,1.0
2022-11-14,148.97,150.28,147.43,148.28,148.28,73374114,0.0000,1.0
2022-11-11,145.82,150.01,144.37,149.7,149.7,93979665,0.0000,1.0
2022-11-10,141.24,146.87,139.5,146.87,146.87,118854028,0.0000,1.0
2022-11-09,138.5,138.55,134.5933,134.87,134.87,74917794,0.0000,1.0
2022-11-08,140.41,141.43,137.49,139.5,139.5,89908477,0.0000,1.0
2022-11-07,137.11,139.145,135.671,138.92,138.92,83374628,0.0000,1.0
2022-11-04,142.09,142.67,134.38,138.38,138.38,140814796,0.2300,1.0
2022-11-03,142.06,142.8,138.75,138.88,138.64955198,97918516,0.0000,1.0
2022-11-02,148.945,152.17,145.0,145.03,144.789347089,93604623,0.0000,1.0
2022-11-01,155.08,155.45,149.13,150.65,150.400021643,80379345,0.0000,1.0
2022-10-31,153.155,154.24,151.92,153.34,153.085558041,97943171,0.0000,1.0
2022-10-28,148.2,157.5,147.82,155.74,155.481575644,164762371,0.0000,1.0
2022-10-27,148.07,149.046,144.13,144.8,144.559728735,109180150,0.0000,1.0
2022-10-26,150.96,151.99,148.04,149.35,149.102178775,88436172,0.0000,1.0
2022-10-25,150.09,152.49,149.36,152.34,152.087217372,74732290,0.0000,1.0
2022-10-24,147.185,150.23,146.0,149.45,149.202012842,75981918,0.0000,1.0
2022-10-21,142.87,147.8479,142.649,147.27,147.025630185,86548609,0.0000,1.0
2022-10-20,143.02,145.89,142.65,143.39,143.152068393,64521989,0.0000,1.0
2022-10-19,141.69,144.9492,141.5,143.86,143.621288507,61758340,0.0000,1.0
2022-10-18,145.49,146.7,140.61,143.75,143.511471034,99136610,0.0000,1.0
2022-10-17,141.065,142.9,140.27,142.41,142.173694539,85250939,0.0000,1.0
2022-10-14,144.31,144.52,138.19,138.38,138.150381646,88597969,0.0000,1.0
2022-10-13,134.99,143.59,134.37,142.99,142.752732126,113223975,0.0000,1.0
2022-10-12,139.13,140.36,138.16,138.34,138.11044802,70433744,0.0000,1.0
2022-10-11,139.9,141.35,138.22,138.98,138.749386047,77033672,0.0000,1.0
2022-10-10,140.42,141.89,138.5729,140.42,140.186996609,74899002,0.0000,1.0
2022-10-07,142.54,143.1,139.445,140.09,139.857544189,85925559,0.0000,1.0
2022-10-06,145.81,147.54,145.22,145.43,145.188683356,68402169,0.0000,1.0
2022-10-05,144.075,147.38,143.01,146.4,146.157073804,79470968,0.0000,1.0
2022-10-04,145.03,146.22,144.26,146.1,145.857571604,87830064,0.0000,1.0
2022-10-03,138.21,143.07,137.685,142.45,142.213628165,114311663,0.0000,1.0
2022-09-30,141.28,143.1,138.0,138.2,137.970680326,124925274,0.0000,1.0
2022-09-29,146.1,146.72,140.68,142.48,142.243578385,128138237,0.0000,1.0
2022-09-28,147.64,150.6414,144.84,149.84,149.591365702,146691387,0.0000,1.0
2022-09-27,152.74,154.72,149.945,151.76,151.508179785,84442741,0.0000,1.0
2022-09-26,149.66,153.7701,149.64,150.77,150.519822524,93339409,0.0000,1.0
2022-09-23,151.19,151.47,148.56,150.43,150.180386696,96029909,0.0000,1.0
