,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2023-01-13,132.03,134.92,131.66,134.76,134.76,57809719,0.0,1.0
1,2023-01-12,133.88,134.26,131.44,133.41,133.41,71379648,0.0,1.0
2,2023-01-11,131.25,133.51,130.46,133.49,133.49,69458949,0.0,1.0
3,2023-01-10,130.26,131.2636,128.12,130.73,130.73,63896155,0.0,1.0
4,2023-01-09,130.465,133.41,129.89,130.15,130.15,70790813,0.0,1.0
5,2023-01-06,126.01,130.29,124.89,129.62,129.62,87754715,0.0,1.0
6,2023-01-05,127.13,127.77,124.76,125.02,125.02,80962708,0.0,1.0
7,2023-01-04,126.89,128.6557,125.08,126.36,126.36,89113633,0.0,1.0
8,2023-01-03,130.28,130.9,124.17,125.07,125.07,112117471,0.0,1.0
9,2022-12-30,128.41,129.95,127.43,129.93,129.93,77034209,0.0,1.0
10,2022-12-29,127.99,130.4814,127.73,129.61,129.61,75703710,0.0,1.0
11,2022-12-28,129.67,131.0275,125.87,126.04,126.04,85438391,0.0,1.0
12,2022-12-27,131.38,131.41,128.72,130.03,130.03,69007830,0.0,1.0
13,2022-12-23,130.92,132.415,129.64,131.86,131.86,63814893,0.1667,1.0
14,2022-12-22,134.352,134.56,130.3,132.23,132.063043308664,77852108,0.0,1.0
15,2022-12-21,132.98,136.81,132.75,135.45,135.278977661337,85927993,0.0,1.0
16,2022-12-20,131.39,133.25,129.89,132.3,132.132954925027,77432819,0.0,1.0
17,2022-12-19,135.11,135.2,131.32,132.37,132.202866541389,79592614,0.0,1.0
18,2022-12-16,136.685,137.65,133.73,134.51,134.340164527327,160156900,0.0,1.0
19,2022-12-15,141.11,141.8,136.025,136.5,136.327651906773,98931907,0.0,1.0
20,2022-12-14,145.35,146.655,141.16,143.21,143.029179703802,82291182,0.0,1.0
21,2022-12-13,149.5,149.9692,144.24,145.47,145.286326174933,93886161,0.0,1.0
22,2022-12-12,142.7,144.5,141.06,144.49,144.307563545859,70462654,0.0,1.0
23,2022-12-09,142.34,145.57,140.9,142.16,141.980505458366,76097011,0.0,1.0
24,2022-12-08,142.36,143.52,141.1,142.65,142.469886772903,62128338,0.0,1.0
25,2022-12-07,142.19,143.37,140.0,140.94,140.762045858906,69721094,0.0,1.0
26,2022-12-06,147.075,147.3,141.92,142.91,142.72955849082,64727186,0.0,1.0
27,2022-12-05,147.77,150.9199,145.77,146.63,146.444861531796,68826442,0.0,1.0
28,2022-12-02,145.96,148.0,145.65,147.81,147.623371636192,65447446,0.0,1.0
29,2022-12-01,148.21,149.13,146.61,148.31,148.122740324495,71250416,0.0,1.0
30,2022-11-30,141.395,148.72,140.55,148.03,147.843093859045,111380880,0.0,1.0
31,2022-11-29,144.29,144.81,140.355,141.17,140.991755455525,83763803,0.0,1.0
32,2022-11-28,145.14,146.64,143.38,144.22,144.037904454175,69346522,0.0,1.0
33,2022-11-25,148.305,148.88,147.12,148.11,147.922992849174,35195860,0.0,1.0
34,2022-11-23,149.45,151.83,149.34,151.07,150.879255483929,58301395,0.0,1.0
35,2022-11-22,148.13,150.42,146.925,150.18,149.990379218749,51804132,0.0,1.0
36,2022-11-21,150.16,150.37,147.715,148.01,147.823119111513,58724070,0.0,1.0
37,2022-11-18,152.305,152.7,149.97,151.29,151.098977706782,74829573,0.0,1.0
38,2022-11-17,146.43,151.48,146.15,150.72,150.529697402116,80389400,0.0,1.0
39,2022-11-16,149.13,149.87,147.29,148.79,148.602134265266,64218266,0.0,1.0
40,2022-11-15,152.215,153.59,148.5613,150.04,149.850555986024,89868332,0.0,1.0
41,2022-11-14,148.97,150.28,147.43,148.28,148.092778203197,73374114,0.0,1.0
42,2022-11-11,145.82,150.01,144.37,149.7,149.510985277978,93979665,0.0,1.0
43,2022-11-10,141.24,146.87,139.5,146.87,146.684558502182,118854028,0.0,1.0
44,2022-11-09,138.5,138.55,134.5933,134.87,134.699709982905,74917794,0.0,1.0
45,2022-11-08,140.41,141.43,137.49,139.5,139.323864036593,89908477,0.0,1.0
46,2022-11-07,137.11,139.145,135.671,138.92,138.744596358161,83374628,0.0,1.0
47,2022-11-04,142.09,142.67,134.38,138.38,138.205278174793,140814796,0.23,1.0
48,2022-11-03,142.06,142.8,138.75,138.88,138.474489812534,97918516,0.0,1.0
