,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2023-02-13,150.952,154.26,150.92,153.85,153.85,62199013,0.0,1.0
1,2023-02-10,149.46,151.3401,149.22,151.01,151.01,57450708,0.23,1.0
2,2023-02-09,153.775,154.33,150.42,150.87,150.64056268183,56007143,0.0,1.0
3,2023-02-08,153.88,154.58,151.168,151.92,151.688965882042,64120079,0.0,1.0
4,2023-02-07,150.64,155.23,150.64,154.65,154.414814202592,83322551,0.0,1.0
5,2023-02-06,152.575,153.1,150.78,151.73,151.499254826765,69858306,0.0,1.0
6,2023-02-03,148.03,157.38,147.83,154.5,154.265042316847,154357337,0.0,1.0
7,2023-02-02,148.9,151.18,148.17,150.82,150.590638719915,118338980,0.0,1.0
8,2023-02-01,143.97,146.61,141.32,145.43,145.208835625496,77663633,0.0,1.0
9,2023-01-31,142.7,144.34,142.28,144.29,144.070569293838,65874459,0.0,1.0
10,2023-01-30,144.955,145.55,142.85,143.0,142.782531076435,64015274,0.0,1.0
11,2023-01-27,143.155,147.23,143.08,145.93,145.708075244644,70555843,0.0,1.0
12,2023-01-26,143.17,144.25,141.9,143.96,143.7410711452,54105068,0.0,1.0
13,2023-01-25,140.89,142.43,138.81,141.86,141.644264744777,65799349,0.0,1.0
14,2023-01-24,140.305,143.16,140.3,142.53,142.313245834435,66435142,0.0,1.0
15,2023-01-23,138.12,143.315,137.9,141.11,140.895405316054,81760313,0.0,1.0
16,2023-01-20,135.28,138.02,134.22,137.87,137.660332583973,80223626,0.0,1.0
17,2023-01-19,134.08,136.25,133.77,135.27,135.064286564401,58280413,0.0,1.0
18,2023-01-18,136.815,138.61,135.03,135.21,135.004377810103,69672800,0.0,1.0
19,2023-01-17,134.83,137.29,134.13,135.94,135.73326765406,63646627,0.0,1.0
20,2023-01-13,132.03,134.92,131.66,134.76,134.55506215287,57809719,0.0,1.0
21,2023-01-12,133.88,134.26,131.44,133.41,133.207115181169,71379648,0.0,1.0
22,2023-01-11,131.25,133.51,130.46,133.49,133.286993520233,69458949,0.0,1.0
23,2023-01-10,130.26,131.2636,128.12,130.73,130.531190822534,63896155,0.0,1.0
24,2023-01-09,130.465,133.41,129.89,130.15,129.952072864322,70790813,0.0,1.0
25,2023-01-06,126.01,130.29,124.89,129.62,129.422878868024,87754715,0.0,1.0
26,2023-01-05,127.13,127.77,124.76,125.02,124.829874371859,80962708,0.0,1.0
27,2023-01-04,126.89,128.6557,125.08,126.36,126.167836551177,89113633,0.0,1.0
28,2023-01-03,130.28,130.9,124.17,125.07,124.879798333774,112117471,0.0,1.0
29,2022-12-30,128.41,129.95,127.43,129.93,129.732407431896,77034209,0.0,1.0
30,2022-12-29,127.99,130.4814,127.73,129.61,129.412894075641,75703710,0.0,1.0
31,2022-12-28,129.67,131.0275,125.87,126.04,125.848323194922,85438391,0.0,1.0
32,2022-12-27,131.38,131.41,128.72,130.03,129.832255355726,69007830,0.0,1.0
33,2022-12-23,130.92,132.415,129.64,131.86,131.659472361809,63814893,0.1667,1.0
34,2022-12-22,134.352,134.56,130.3,132.23,131.862206889985,77852108,0.0,1.0
35,2022-12-21,132.98,136.81,132.75,135.45,135.073250572854,85927993,0.0,1.0
36,2022-12-20,131.39,133.25,129.89,132.3,131.932012187439,77432819,0.0,1.0
37,2022-12-19,135.11,135.2,131.32,132.37,132.001817484893,79592614,0.0,1.0
38,2022-12-16,136.685,137.65,133.73,134.51,134.135865149905,160156900,0.0,1.0
39,2022-12-15,141.11,141.8,136.025,136.5,136.120330034659,98931907,0.0,1.0
40,2022-12-14,145.35,146.655,141.16,143.21,142.811666404861,82291182,0.0,1.0
41,2022-12-13,149.5,149.9692,144.24,145.47,145.06538029408,93886161,0.0,1.0
42,2022-12-12,142.7,144.5,141.06,144.49,144.088106129728,70462654,0.0,1.0
43,2022-12-09,142.34,145.57,140.9,142.16,141.764586943056,76097011,0.0,1.0
44,2022-12-08,142.36,143.52,141.1,142.65,142.253224025232,62128338,0.0,1.0
45,2022-12-07,142.19,143.37,140.0,140.94,140.547980330292,69721094,0.0,1.0
46,2022-12-06,147.075,147.3,141.92,142.91,142.512500844345,64727186,0.0,1.0
47,2022-12-05,147.77,150.9199,145.77,146.63,146.22215379474,68826442,0.0,1.0
48,2022-12-02,145.96,148.0,145.65,147.81,147.398871666102,65447446,0.0,1.0
49,2022-12-01,148.21,149.13,146.61,148.31,147.897480933629,71250416,0.0,1.0
50,2022-11-30,141.395,148.72,140.55,148.03,147.618259743814,111380880,0.0,1.0
51,2022-11-29,144.29,144.81,140.355,141.17,140.777340593354,83763803,0.0,1.0
52,2022-11-28,145.14,146.64,143.38,144.22,143.818857125264,69346522,0.0,1.0
53,2022-11-25,148.305,148.88,147.12,148.11,147.698037226618,35195860,0.0,1.0
54,2022-11-23,149.45,151.83,149.34,151.07,150.649804090373,58301395,0.0,1.0
55,2022-11-22,148.13,150.42,146.925,150.18,149.762279594177,51804132,0.0,1.0
56,2022-11-21,150.16,150.37,147.715,148.01,147.598315373113,58724070,0.0,1.0
57,2022-11-18,152.305,152.7,149.97,151.29,150.869192168085,74829573,0.0,1.0
58,2022-11-17,146.43,151.48,146.15,150.72,150.300777603105,80389400,0.0,1.0
59,2022-11-16,149.13,149.87,147.29,148.79,148.376145830454,64218266,0.0,1.0
60,2022-11-15,152.215,153.59,148.5613,150.04,149.622668999269,89868332,0.0,1.0
61,2022-11-14,148.97,150.28,147.43,148.28,147.867564377577,73374114,0.0,1.0
62,2022-11-11,145.82,150.01,144.37,149.7,149.283614697352,93979665,0.0,1.0
63,2022-11-10,141.24,146.87,139.5,146.87,146.461486243153,118854028,0.0,1.0
64,2022-11-09,138.5,138.55,134.5933,134.87,134.494863822524,74917794,0.0,1.0
65,2022-11-08,140.41,141.43,137.49,139.5,139.111985639817,89908477,0.0,1.0
66,2022-11-07,137.11,139.145,135.671,138.92,138.533598889486,83374628,0.0,1.0
67,2022-11-04,142.09,142.67,134.38,138.38,137.995100880558,140814796,0.23,1.0
